[2026-04-13 09:40:36] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.75 | Strength: 2 touches | Level: 4533.2600 | Sweep Type: wick | Time: 2026-03-25 11:00:00
[2026-04-13 09:40:37] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.75 | Strength: 2 touches | Level: 4533.2600 | Sweep Type: wick | Time: 2026-03-25 11:00:00
[2026-04-13 09:40:38] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.75 | Strength: 2 touches | Level: 4533.2600 | Sweep Type: wick | Time: 2026-03-25 11:00:00
[2026-04-13 09:40:39] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.75 | Strength: 2 touches | Level: 4533.2600 | Sweep Type: wick | Time: 2026-03-25 11:00:00
[2026-04-13 09:40:40] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.75 | Strength: 2 touches | Level: 4533.2600 | Sweep Type: wick | Time: 2026-03-25 11:00:00
[2026-04-13 09:40:41] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.75 | Strength: 2 touches | Level: 4533.2600 | Sweep Type: wick | Time: 2026-03-25 11:00:00
[2026-04-13 09:40:42] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.75 | Strength: 2 touches | Level: 4533.2600 | Sweep Type: wick | Time: 2026-03-25 11:00:00
[2026-04-13 09:40:43] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.75 | Strength: 2 touches | Level: 4533.2600 | Sweep Type: wick | Time: 2026-03-25 11:00:00
[2026-04-13 09:40:44] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.75 | Strength: 2 touches | Level: 4533.2600 | Sweep Type: wick | Time: 2026-03-25 11:00:00
[2026-04-13 09:40:45] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.75 | Strength: 2 touches | Level: 4533.2600 | Sweep Type: wick | Time: 2026-03-25 11:00:00
[2026-04-13 09:40:45] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.90 | Strength: 3 touches | Level: 4521.9400 | Sweep Type: wick | Time: 2026-03-25 21:00:00
[2026-04-13 09:40:46] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.90 | Strength: 3 touches | Level: 4521.9400 | Sweep Type: wick | Time: 2026-03-25 21:00:00
[2026-04-13 09:40:47] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.90 | Strength: 3 touches | Level: 4521.9400 | Sweep Type: wick | Time: 2026-03-25 21:00:00
[2026-04-13 09:40:47] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.90 | Strength: 3 touches | Level: 4521.9400 | Sweep Type: wick | Time: 2026-03-25 21:00:00
[2026-04-13 09:40:48] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.90 | Strength: 3 touches | Level: 4521.9400 | Sweep Type: wick | Time: 2026-03-25 21:00:00
[2026-04-13 09:40:49] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.90 | Strength: 3 touches | Level: 4521.9400 | Sweep Type: wick | Time: 2026-03-25 21:00:00
[2026-04-13 09:40:50] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.90 | Strength: 3 touches | Level: 4521.9400 | Sweep Type: wick | Time: 2026-03-25 21:00:00
[2026-04-13 09:40:51] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.90 | Strength: 3 touches | Level: 4521.9400 | Sweep Type: wick | Time: 2026-03-25 21:00:00
[2026-04-13 09:40:53] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.90 | Strength: 3 touches | Level: 4521.9400 | Sweep Type: wick | Time: 2026-03-25 21:00:00
[2026-04-13 09:40:54] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.90 | Strength: 3 touches | Level: 4521.9400 | Sweep Type: wick | Time: 2026-03-25 21:00:00
[2026-04-13 09:40:55] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.90 | Strength: 3 touches | Level: 4521.9400 | Sweep Type: wick | Time: 2026-03-25 21:00:00
[2026-04-13 09:40:56] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.90 | Strength: 3 touches | Level: 4521.9400 | Sweep Type: wick | Time: 2026-03-25 21:00:00
[2026-04-13 09:40:57] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.90 | Strength: 3 touches | Level: 4521.9400 | Sweep Type: wick | Time: 2026-03-25 21:00:00
[2026-04-13 09:40:58] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.90 | Strength: 3 touches | Level: 4521.9400 | Sweep Type: wick | Time: 2026-03-25 21:00:00
[2026-04-13 09:40:59] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.90 | Strength: 3 touches | Level: 4521.9400 | Sweep Type: wick | Time: 2026-03-25 21:00:00
[2026-04-13 09:41:00] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.90 | Strength: 3 touches | Level: 4521.9400 | Sweep Type: wick | Time: 2026-03-25 21:00:00
[2026-04-13 09:41:01] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.90 | Strength: 3 touches | Level: 4521.9400 | Sweep Type: wick | Time: 2026-03-25 21:00:00
[2026-04-13 09:41:02] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.90 | Strength: 3 touches | Level: 4521.9400 | Sweep Type: wick | Time: 2026-03-25 21:00:00
[2026-04-13 09:41:03] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.90 | Strength: 3 touches | Level: 4521.9400 | Sweep Type: wick | Time: 2026-03-25 21:00:00
